dataset,model,source_model,constraint_setting,constraint_details,selection_split,test_set_used_for_band_selection,feasible_on_validation,calibration_type,fn_cost,fp_cost,binary_policy_reference_threshold,binary_policy_reference_precision,binary_policy_reference_recall,binary_policy_reference_fp,binary_policy_reference_cost,t_low_validation,t_high_validation,validation_remaining_expected_cost,validation_manual_review_rate,validation_high_risk_precision,validation_high_risk_recall,validation_low_risk_default_rate,test_low_risk_count,test_manual_review_count,test_high_risk_count,test_auto_decision_rate,test_manual_review_rate,test_default_rate_low_risk,test_default_rate_manual_review,test_default_rate_high_risk,test_high_risk_precision,test_high_risk_recall,test_low_risk_false_negative_count,test_high_risk_false_positive_count,test_remaining_expected_cost,cost_reduction_vs_binary_threshold,fp_reduction_vs_binary_threshold,notes
heloc,Best CatBoost,catboost,A_manual_review_rate_0_20,manual_review_rate <= 0.20,validation,False,True,isotonic,5.0,1.0,0.14,0.5581395348837209,0.980544747081712,798,898.0,0.14,0.3,584.0,0.19655521783181357,0.6547788873038516,0.8938656280428432,0.10869565217391304,169,365,1441,0.8151898734177215,0.1848101265822785,0.11834319526627218,0.21095890410958903,0.6460791117279667,0.6460791117279667,0.9056420233463035,20,510,610.0,288.0,288,More defensible screening policy: precision and FP improve with bounded review load.
heloc,Best CatBoost,catboost,B_manual_review_rate_0_25,manual_review_rate <= 0.25,validation,False,True,isotonic,5.0,1.0,0.14,0.5581395348837209,0.980544747081712,798,898.0,0.13,0.32,512.0,0.24974670719351572,0.6666666666666666,0.8802336903602727,0.096,124,439,1412,0.7777215189873418,0.22227848101265824,0.10483870967741936,0.2164009111617312,0.6515580736543909,0.6515580736543909,0.8949416342412452,13,492,557.0,341.0,306,More defensible screening policy: precision and FP improve with bounded review load.
heloc,Best CatBoost,catboost,C_manual_review_rate_0_30,manual_review_rate <= 0.30,validation,False,True,isotonic,5.0,1.0,0.14,0.5581395348837209,0.980544747081712,798,898.0,0.13,0.36,451.0,0.29432624113475175,0.6916403785488959,0.8539435248296008,0.096,124,533,1318,0.730126582278481,0.26987341772151896,0.10483870967741936,0.2326454033771107,0.6760242792109257,0.6760242792109257,0.8667315175097277,13,427,492.0,406.0,371,More defensible screening policy: precision and FP improve with bounded review load.
heloc,Best CatBoost,catboost,D_high_risk_precision_0_40,high_risk_precision >= 0.40,validation,False,True,isotonic,5.0,1.0,0.14,0.5581395348837209,0.980544747081712,798,898.0,0.08,0.8,56.0,0.8069908814589666,0.8478260869565217,0.3037974683544304,0.0,15,1602,358,0.1888607594936709,0.8111392405063291,0.0,0.44569288389513106,0.8770949720670391,0.8770949720670391,0.30544747081712065,0,44,44.0,854.0,754,"Precision and FP improve, but manual-review workload needs operational review."
heloc,Best CatBoost,catboost,E_high_risk_precision_0_45,high_risk_precision >= 0.45,validation,False,True,isotonic,5.0,1.0,0.14,0.5581395348837209,0.980544747081712,798,898.0,0.08,0.8,56.0,0.8069908814589666,0.8478260869565217,0.3037974683544304,0.0,15,1602,358,0.1888607594936709,0.8111392405063291,0.0,0.44569288389513106,0.8770949720670391,0.8770949720670391,0.30544747081712065,0,44,44.0,854.0,754,"Precision and FP improve, but manual-review workload needs operational review."
heloc,Best CatBoost,catboost,F_high_risk_precision_0_50,high_risk_precision >= 0.50,validation,False,True,isotonic,5.0,1.0,0.14,0.5581395348837209,0.980544747081712,798,898.0,0.08,0.8,56.0,0.8069908814589666,0.8478260869565217,0.3037974683544304,0.0,15,1602,358,0.1888607594936709,0.8111392405063291,0.0,0.44569288389513106,0.8770949720670391,0.8770949720670391,0.30544747081712065,0,44,44.0,854.0,754,"Precision and FP improve, but manual-review workload needs operational review."
heloc,Best CatBoost,catboost,G_low_risk_default_rate_0_10,low_risk_default_rate <= 0.10,validation,False,True,isotonic,5.0,1.0,0.14,0.5581395348837209,0.980544747081712,798,898.0,0.08,0.8,56.0,0.8069908814589666,0.8478260869565217,0.3037974683544304,0.0,15,1602,358,0.1888607594936709,0.8111392405063291,0.0,0.44569288389513106,0.8770949720670391,0.8770949720670391,0.30544747081712065,0,44,44.0,854.0,754,"Precision and FP improve, but manual-review workload needs operational review."
heloc,Best CatBoost,catboost,H_low_risk_default_rate_0_08,low_risk_default_rate <= 0.08,validation,False,True,isotonic,5.0,1.0,0.14,0.5581395348837209,0.980544747081712,798,898.0,0.08,0.8,56.0,0.8069908814589666,0.8478260869565217,0.3037974683544304,0.0,15,1602,358,0.1888607594936709,0.8111392405063291,0.0,0.44569288389513106,0.8770949720670391,0.8770949720670391,0.30544747081712065,0,44,44.0,854.0,754,"Precision and FP improve, but manual-review workload needs operational review."
heloc,Best CatBoost,catboost,I_high_risk_recall_0_60,high_risk_recall >= 0.60,validation,False,True,isotonic,5.0,1.0,0.14,0.5581395348837209,0.980544747081712,798,898.0,0.08,0.65,152.0,0.5952380952380952,0.806615776081425,0.617332035053554,0.0,15,1183,777,0.4010126582278481,0.5989873417721518,0.0,0.3499577345731192,0.7902187902187903,0.7902187902187903,0.5972762645914397,0,163,163.0,735.0,635,"Precision and FP improve, but manual-review workload needs operational review."
heloc,Best CatBoost,catboost,J_high_risk_recall_0_65,high_risk_recall >= 0.65,validation,False,True,isotonic,5.0,1.0,0.14,0.5581395348837209,0.980544747081712,798,898.0,0.08,0.6,188.0,0.5547112462006079,0.7829099307159353,0.6601752677702045,0.0,15,1085,875,0.4506329113924051,0.549367088607595,0.0,0.3216589861751152,0.776,0.776,0.6605058365758755,0,196,196.0,702.0,602,"Precision and FP improve, but manual-review workload needs operational review."
heloc,Best CatBoost,catboost,K_review_0_25_precision_0_40,manual_review_rate <= 0.25 AND high_risk_precision >= 0.40,validation,False,True,isotonic,5.0,1.0,0.14,0.5581395348837209,0.980544747081712,798,898.0,0.13,0.32,512.0,0.24974670719351572,0.6666666666666666,0.8802336903602727,0.096,124,439,1412,0.7777215189873418,0.22227848101265824,0.10483870967741936,0.2164009111617312,0.6515580736543909,0.6515580736543909,0.8949416342412452,13,492,557.0,341.0,306,More defensible screening policy: precision and FP improve with bounded review load.
heloc,Best CatBoost,catboost,L_review_0_25_low_default_0_10,manual_review_rate <= 0.25 AND low_risk_default_rate <= 0.10,validation,False,True,isotonic,5.0,1.0,0.14,0.5581395348837209,0.980544747081712,798,898.0,0.13,0.32,512.0,0.24974670719351572,0.6666666666666666,0.8802336903602727,0.096,124,439,1412,0.7777215189873418,0.22227848101265824,0.10483870967741936,0.2164009111617312,0.6515580736543909,0.6515580736543909,0.8949416342412452,13,492,557.0,341.0,306,More defensible screening policy: precision and FP improve with bounded review load.
heloc,Best CatBoost,catboost,M_precision_0_45_low_default_0_10,high_risk_precision >= 0.45 AND low_risk_default_rate <= 0.10,validation,False,True,isotonic,5.0,1.0,0.14,0.5581395348837209,0.980544747081712,798,898.0,0.08,0.8,56.0,0.8069908814589666,0.8478260869565217,0.3037974683544304,0.0,15,1602,358,0.1888607594936709,0.8111392405063291,0.0,0.44569288389513106,0.8770949720670391,0.8770949720670391,0.30544747081712065,0,44,44.0,854.0,754,"Precision and FP improve, but manual-review workload needs operational review."
