dataset,candidate_id,candidate_source,raw_threshold,raw_expected_cost,raw_pr_auc,raw_roc_auc,raw_brier_score,weights_json,calibrated_threshold,calibrated_expected_cost,calibrated_pr_auc,calibrated_roc_auc,calibrated_brier_score,winner,cost_scenario,selection_split,test_set_used_for_weight_optimization
taiwan,1246,dirichlet_random,0.15,3121.0,0.5620113076795994,0.7878851895100056,0.1331396798023502,"{'xgboost': 0.03347630728644638, 'catboost': 0.29314510311159137, 'optuna_best_catboost': 0.3488196594915598, 'random_forest': 0.04961986662799808, 'monotonic_xgboost': 0.27493906348240443}",0.13,3117.0,0.5550860543847846,0.7914540085091752,0.13181551823371296,False,B_FN5_FP1,validation,False
taiwan,935,dirichlet_random,0.15,3122.0,0.5620134547259108,0.7877144125587338,0.13315197040792226,"{'xgboost': 0.03643270027261833, 'catboost': 0.14349510753936034, 'optuna_best_catboost': 0.4891922871194357, 'random_forest': 0.02363998912488845, 'monotonic_xgboost': 0.30723991594369726}",0.12,3112.0,0.5532305952475053,0.7913193543502405,0.13172358838939358,True,B_FN5_FP1,validation,False
taiwan,553,dirichlet_random,0.15,3125.0,0.5622423803698323,0.787828747646979,0.13314037083991725,"{'xgboost': 0.16977217251220983, 'catboost': 0.24503355766119864, 'optuna_best_catboost': 0.38876710686757465, 'random_forest': 0.02421737029529322, 'monotonic_xgboost': 0.1722097926637237}",0.13,3121.0,0.5537015876822222,0.791268153517352,0.13173418873800208,False,B_FN5_FP1,validation,False
taiwan,1881,dirichlet_random,0.15,3126.0,0.5621830635777842,0.7875891116228149,0.13316643239847395,"{'xgboost': 0.10837372430398273, 'catboost': 0.12420541263181908, 'optuna_best_catboost': 0.5425153141416407, 'random_forest': 0.009434737331192208, 'monotonic_xgboost': 0.21547081159136525}",0.12,3123.0,0.5514989518280128,0.7909172463917926,0.13180034537291357,False,B_FN5_FP1,validation,False
taiwan,873,dirichlet_random,0.15,3127.0,0.5620521356180921,0.7878705146256187,0.13313964892759597,"{'xgboost': 0.0957118890309746, 'catboost': 0.2972126148212497, 'optuna_best_catboost': 0.36347836581973403, 'random_forest': 0.05953441676741396, 'monotonic_xgboost': 0.18406271356062778}",0.14,3120.0,0.5543014814847217,0.7910525456005906,0.13178063823365557,False,B_FN5_FP1,validation,False
taiwan,2143,dirichlet_random,0.15,3128.0,0.5624445768806506,0.7877476326266866,0.13316015366382847,"{'xgboost': 0.1547503005760803, 'catboost': 0.2840679000265271, 'optuna_best_catboost': 0.4054062195032578, 'random_forest': 0.04399649380360154, 'monotonic_xgboost': 0.11177908609053322}",0.14,3126.0,0.554459991120921,0.7909274059271375,0.13184354609472715,False,B_FN5_FP1,validation,False
taiwan,131,dirichlet_random,0.15,3128.0,0.5619094058016393,0.787788754555463,0.13315061152612645,"{'xgboost': 0.1441983136555285, 'catboost': 0.33704133479074105, 'optuna_best_catboost': 0.2972359805029022, 'random_forest': 0.005035609295479553, 'monotonic_xgboost': 0.2164887617553487}",0.13,3125.0,0.55443884170945,0.7909951361627693,0.1318407237450519,False,B_FN5_FP1,validation,False
taiwan,1222,dirichlet_random,0.15,3129.0,0.5620925377506937,0.7878553559538344,0.1331373387899417,"{'xgboost': 0.08095533441333352, 'catboost': 0.2542554404006328, 'optuna_best_catboost': 0.3995653610913855, 'random_forest': 0.059453402043494696, 'monotonic_xgboost': 0.20577046205115349}",0.15,3124.0,0.5557425320357815,0.7910165840707194,0.13179939974405924,False,B_FN5_FP1,validation,False
taiwan,1998,dirichlet_random,0.15,3129.0,0.5620460618947473,0.7878785777489082,0.13314874125905826,"{'xgboost': 0.03623290669180852, 'catboost': 0.3675418005958294, 'optuna_best_catboost': 0.2960274905682585, 'random_forest': 0.052534718529821355, 'monotonic_xgboost': 0.2476630836142822}",0.13,3120.0,0.5538815353685145,0.7913878908982014,0.13183544183954468,False,B_FN5_FP1,validation,False
taiwan,2202,dirichlet_random,0.15,3129.0,0.5618529192288487,0.7876100757433675,0.13317265997860456,"{'xgboost': 0.10670159231339679, 'catboost': 0.30314921539282336, 'optuna_best_catboost': 0.40030881650868055, 'random_forest': 0.007457242088671597, 'monotonic_xgboost': 0.1823831336964277}",0.13,3117.0,0.5525023728536194,0.791195262882815,0.1317747940534268,False,B_FN5_FP1,validation,False
taiwan,2313,dirichlet_random,0.15,3130.0,0.5623277061388308,0.7877506966135366,0.13315756359222508,"{'xgboost': 0.08856661396643575, 'catboost': 0.3064012783801017, 'optuna_best_catboost': 0.3969038460272277, 'random_forest': 0.07612974147994377, 'monotonic_xgboost': 0.13199852014629118}",0.14,3128.0,0.5548590539372066,0.7906000431215833,0.13189549196592146,False,B_FN5_FP1,validation,False
taiwan,2972,dirichlet_random,0.15,3130.0,0.5621836680898467,0.7874973532797802,0.1331932816955003,"{'xgboost': 0.11950277115989849, 'catboost': 0.2782693856207912, 'optuna_best_catboost': 0.4620686973649077, 'random_forest': 0.0006370186094712021, 'monotonic_xgboost': 0.1395221272449315}",0.13,3123.0,0.5557689647133017,0.7907442923972327,0.13186972090106577,False,B_FN5_FP1,validation,False
taiwan,1070,dirichlet_random,0.15,3132.0,0.5622068437544407,0.787805848376837,0.13314916782251385,"{'xgboost': 0.09117841281941497, 'catboost': 0.32382112279897507, 'optuna_best_catboost': 0.3618580295604207, 'random_forest': 0.07054381081543719, 'monotonic_xgboost': 0.15259862400575208}",0.14,3126.0,0.5537615991234153,0.7907613055873736,0.1318747207204121,False,B_FN5_FP1,validation,False
taiwan,64,dirichlet_random,0.15,3132.0,0.5620712511310635,0.7877026403987311,0.13315558775125036,"{'xgboost': 0.0795163543116703, 'catboost': 0.20433155190734112, 'optuna_best_catboost': 0.46544404781363635, 'random_forest': 0.0259836908881978, 'monotonic_xgboost': 0.22472435507915428}",0.13,3118.0,0.5536314176168506,0.7910766543392262,0.13178432980798938,False,B_FN5_FP1,validation,False
taiwan,1249,dirichlet_random,0.15,3132.0,0.5619604097359925,0.787765694022855,0.13315011176998562,"{'xgboost': 0.05339541064556434, 'catboost': 0.23694501071251536, 'optuna_best_catboost': 0.433602129047255, 'random_forest': 0.04478628539063543, 'monotonic_xgboost': 0.23127116420402985}",0.13,3120.0,0.5556034230370841,0.791070768259225,0.1318117839707697,False,B_FN5_FP1,validation,False
taiwan,886,dirichlet_random,0.15,3132.0,0.5619584516716724,0.7877992366157395,0.13313759288205154,"{'xgboost': 0.10044876663702494, 'catboost': 0.13276879410603398, 'optuna_best_catboost': 0.4414652405053889, 'random_forest': 0.001854178151067157, 'monotonic_xgboost': 0.32346302060048504}",0.12,3121.0,0.5535179477910017,0.7912902464751654,0.13179887582445496,False,B_FN5_FP1,validation,False
taiwan,1074,dirichlet_random,0.15,3132.0,0.5617545445197981,0.7878674506387688,0.13314409129457294,"{'xgboost': 0.029672302539965542, 'catboost': 0.3089375731498178, 'optuna_best_catboost': 0.3237710616334255, 'random_forest': 0.03554615581388248, 'monotonic_xgboost': 0.3020729068629087}",0.14,3128.0,0.5539518682375041,0.7912089701924073,0.1319063064440178,False,B_FN5_FP1,validation,False
taiwan,2563,dirichlet_random,0.15,3133.0,0.5621517747996354,0.7877818202694342,0.13313976723810111,"{'xgboost': 0.038257691392306496, 'catboost': 0.12042622589086453, 'optuna_best_catboost': 0.495975085771558, 'random_forest': 0.04802487248854358, 'monotonic_xgboost': 0.29731612445672734}",0.12,3125.0,0.5545633572178018,0.7912723463414626,0.13172348193661032,False,B_FN5_FP1,validation,False
taiwan,443,dirichlet_random,0.15,3133.0,0.5619859547514456,0.7878539045916424,0.13317156132821262,"{'xgboost': 0.26777060721198054, 'catboost': 0.4582002399853984, 'optuna_best_catboost': 0.15769691892477775, 'random_forest': 0.011752959433651176, 'monotonic_xgboost': 0.10457927444419211}",0.16,3130.0,0.5526061682916941,0.7912305793628229,0.13176405602307192,False,B_FN5_FP1,validation,False
taiwan,2971,dirichlet_random,0.15,3133.0,0.5619370490013422,0.7877705318968289,0.13315843961243481,"{'xgboost': 0.0871022709581845, 'catboost': 0.3604964719681142, 'optuna_best_catboost': 0.301345008327153, 'random_forest': 0.014155138301789563, 'monotonic_xgboost': 0.23690111044475873}",0.13,3126.0,0.5537993426096985,0.7910825404192274,0.13185041768776495,False,B_FN5_FP1,validation,False
taiwan,1563,dirichlet_random,0.15,3134.0,0.5623356111781923,0.7879482431341296,0.13314641887473944,"{'xgboost': 0.13412151543778822, 'catboost': 0.4191161073732444, 'optuna_best_catboost': 0.23264598677206702, 'random_forest': 0.05579737262416876, 'monotonic_xgboost': 0.15831901779273153}",0.16,3133.0,0.5552482302102603,0.7912854086011917,0.13186182863861154,False,B_FN5_FP1,validation,False
taiwan,679,dirichlet_random,0.15,3134.0,0.5622928401077292,0.787526703048554,0.13318327605403407,"{'xgboost': 0.0689163914187408, 'catboost': 0.23862982045830744, 'optuna_best_catboost': 0.5006718379322117, 'random_forest': 0.05562638514370825, 'monotonic_xgboost': 0.1361555650470316}",0.15,3134.0,0.552878279488901,0.7904769192289527,0.1318668986122063,False,B_FN5_FP1,validation,False
taiwan,620,dirichlet_random,0.15,3134.0,0.5620435959422091,0.7877061881729785,0.13315107709405954,"{'xgboost': 0.09859476503299577, 'catboost': 0.1818478476512606, 'optuna_best_catboost': 0.4537883672006482, 'random_forest': 0.0034496571190043976, 'monotonic_xgboost': 0.2623193629960911}",0.17,3121.0,0.5553043272865161,0.791310484914622,0.13179494332840685,False,B_FN5_FP1,validation,False
taiwan,507,dirichlet_random,0.15,3134.0,0.5618952109946013,0.7879461467220743,0.13315894008487206,"{'xgboost': 0.010911551530261578, 'catboost': 0.47181726745451447, 'optuna_best_catboost': 0.1871447259463179, 'random_forest': 0.06558931315435762, 'monotonic_xgboost': 0.2645371419145486}",0.14,3129.0,0.5549136352641834,0.7912055030493926,0.13185554191955562,False,B_FN5_FP1,validation,False
taiwan,1250,dirichlet_random,0.15,3135.0,0.5621388864452329,0.7880082327714034,0.13311990609668045,"{'xgboost': 0.10418462796440567, 'catboost': 0.3024856549592459, 'optuna_best_catboost': 0.31973734360653855, 'random_forest': 0.0784556358526589, 'monotonic_xgboost': 0.1951367376171509}",0.15,3128.0,0.554526679880176,0.7910713326778552,0.13187606868751273,False,B_FN5_FP1,validation,False
taiwan,2514,dirichlet_random,0.15,3135.0,0.5621312408539405,0.7875583104918489,0.1331799158408073,"{'xgboost': 0.06656418145333202, 'catboost': 0.2894881993969529, 'optuna_best_catboost': 0.44768802551328063, 'random_forest': 0.04443990534903763, 'monotonic_xgboost': 0.1518196882873971}",0.14,3129.0,0.5554423791008981,0.7905792402634964,0.13187874072385447,False,B_FN5_FP1,validation,False
taiwan,1740,dirichlet_random,0.15,3136.0,0.562412679925858,0.7876994151494152,0.13316370752893722,"{'xgboost': 0.09521495970101523, 'catboost': 0.2668733417690062, 'optuna_best_catboost': 0.44251051163611527, 'random_forest': 0.06665845569197391, 'monotonic_xgboost': 0.12874273120188934}",0.16,3134.0,0.5544782985435177,0.7907135718974996,0.13186300739026569,False,B_FN5_FP1,validation,False
taiwan,1108,dirichlet_random,0.15,3136.0,0.5622286815137884,0.7876516814595415,0.13315259775119975,"{'xgboost': 0.09201367720841087, 'catboost': 0.05053110983698741, 'optuna_best_catboost': 0.5696800847130314, 'random_forest': 0.02770028295514543, 'monotonic_xgboost': 0.26007484528642494}",0.14,3136.0,0.5527229494384733,0.790955465596185,0.1317428276924795,False,B_FN5_FP1,validation,False
taiwan,1377,dirichlet_random,0.15,3137.0,0.5627162756279689,0.7874876775318328,0.1332629498867779,"{'xgboost': 0.0842911368787864, 'catboost': 0.7307624564311154, 'optuna_best_catboost': 0.05671283479830487, 'random_forest': 0.11914286486654697, 'monotonic_xgboost': 0.009090707025246395}",0.15,3128.0,0.5549741772424558,0.7904310400574353,0.1318438839141834,False,B_FN5_FP1,validation,False
taiwan,919,dirichlet_random,0.15,3137.0,0.5621619787596588,0.7879427602102927,0.13313266678046795,"{'xgboost': 0.016973791371266516, 'catboost': 0.3049104062882351, 'optuna_best_catboost': 0.3461257627592326, 'random_forest': 0.09164064032222449, 'monotonic_xgboost': 0.24034939925904122}",0.14,3133.0,0.5560209374191881,0.7910412572279852,0.1318830350857943,False,B_FN5_FP1,validation,False
taiwan,345,dirichlet_random,0.15,3137.0,0.5620851038286836,0.7877473101017549,0.1331665437197822,"{'xgboost': 0.1364442301839902, 'catboost': 0.3878332155868974, 'optuna_best_catboost': 0.2969347430986047, 'random_forest': 0.019345706593565843, 'monotonic_xgboost': 0.15944210453694208}",0.13,3134.0,0.5554657892548106,0.7910036024422233,0.1318808651243839,False,B_FN5_FP1,validation,False
taiwan,2167,dirichlet_random,0.15,3137.0,0.5619205135055262,0.7876711942179021,0.1331705121497122,"{'xgboost': 0.14721422943062792, 'catboost': 0.35235602483498013, 'optuna_best_catboost': 0.3327844013032268, 'random_forest': 0.0013994917785704732, 'monotonic_xgboost': 0.16624585265259473}",0.17,3128.0,0.5556240143276125,0.7908579018043818,0.13183543816550183,False,B_FN5_FP1,validation,False
taiwan,1224,dirichlet_random,0.15,3138.0,0.5624028759633692,0.7878372945576659,0.13314332772091692,"{'xgboost': 0.08825720708155217, 'catboost': 0.3129849116615411, 'optuna_best_catboost': 0.36683746785924254, 'random_forest': 0.09431712210250787, 'monotonic_xgboost': 0.1376032912951563}",0.15,3137.0,0.5540764569241732,0.7906783360487245,0.13190779435656994,False,B_FN5_FP1,validation,False
taiwan,1817,dirichlet_random,0.15,3138.0,0.5623692758003437,0.7876813537532468,0.133177828444432,"{'xgboost': 0.19811968395397478, 'catboost': 0.37285711530763427, 'optuna_best_catboost': 0.32809645942526855, 'random_forest': 0.026833123070796074, 'monotonic_xgboost': 0.07409361824232626}",0.17,3138.0,0.5561537361125597,0.7910583510493591,0.1319065704500346,False,B_FN5_FP1,validation,False
taiwan,1201,dirichlet_random,0.15,3138.0,0.5622956689398774,0.7880519348996327,0.13314020153795497,"{'xgboost': 0.16764633657604813, 'catboost': 0.4589520887853489, 'optuna_best_catboost': 0.14944187165832576, 'random_forest': 0.05795911445243084, 'monotonic_xgboost': 0.16600058852784644}",0.16,3138.0,0.5536566252208467,0.7911931664707597,0.1318240514209532,False,B_FN5_FP1,validation,False
taiwan,2989,dirichlet_random,0.15,3138.0,0.5617886635820708,0.7878448738935581,0.13314530265164456,"{'xgboost': 0.07652406963933511, 'catboost': 0.3141362481820162, 'optuna_best_catboost': 0.3023705691590899, 'random_forest': 0.012383743076486377, 'monotonic_xgboost': 0.29458536994307255}",0.15,3130.0,0.5536335273873206,0.7909358722065913,0.13192649605778078,False,B_FN5_FP1,validation,False
taiwan,1690,dirichlet_random,0.15,3138.0,0.5612937338616376,0.7877945600042315,0.13315001282923997,"{'xgboost': 0.011964479404808739, 'catboost': 0.19623490468213786, 'optuna_best_catboost': 0.3872997600982351, 'random_forest': 0.010262226372746272, 'monotonic_xgboost': 0.3942386294420721}",0.12,3121.0,0.5526231279882886,0.7910765737079933,0.13191188177986285,False,B_FN5_FP1,validation,False
taiwan,2661,dirichlet_random,0.15,3139.0,0.5624786956854279,0.7874205923460642,0.13326005602155733,"{'xgboost': 0.03934929688350757, 'catboost': 0.7153031438489043, 'optuna_best_catboost': 0.08356405868943985, 'random_forest': 0.14744846249763982, 'monotonic_xgboost': 0.014335038080508558}",0.16,3130.0,0.5538801884710363,0.7907486464838089,0.13184256901015887,False,B_FN5_FP1,validation,False
taiwan,189,dirichlet_random,0.15,3139.0,0.5623966589921598,0.7878727723001397,0.13312918148123995,"{'xgboost': 0.112698639954435, 'catboost': 0.2024823732441543, 'optuna_best_catboost': 0.42912986085878385, 'random_forest': 0.06236663770118134, 'monotonic_xgboost': 0.19332248824144538}",0.13,3130.0,0.5545535551248659,0.7909487732038546,0.13180433533858915,False,B_FN5_FP1,validation,False
taiwan,680,dirichlet_random,0.15,3139.0,0.5623046024632075,0.787898735557132,0.13313187204509108,"{'xgboost': 0.0646959091761256, 'catboost': 0.2541033545400568, 'optuna_best_catboost': 0.40184304023107204, 'random_forest': 0.0999086847858952, 'monotonic_xgboost': 0.17944901126685028}",0.15,3139.0,0.5548356978715269,0.7907436473473696,0.13184001821398894,False,B_FN5_FP1,validation,False
taiwan,1110,dirichlet_random,0.15,3139.0,0.5622858136720297,0.7875025136786855,0.13320758337988267,"{'xgboost': 0.17190997280235432, 'catboost': 0.39671791656927285, 'optuna_best_catboost': 0.3592735076625387, 'random_forest': 0.01217124003764082, 'monotonic_xgboost': 0.05992736292819325}",0.14,3135.0,0.5554867839758586,0.7906538241539244,0.1319300662275195,False,B_FN5_FP1,validation,False
taiwan,85,dirichlet_random,0.15,3139.0,0.5622848335855599,0.7874665521488143,0.13318804584901933,"{'xgboost': 0.05115400936515151, 'catboost': 0.17251889545516982, 'optuna_best_catboost': 0.5563755235833132, 'random_forest': 0.030530385191094217, 'monotonic_xgboost': 0.1894211864052712}",0.15,3137.0,0.5527600225334602,0.790505059529233,0.13188424913877306,False,B_FN5_FP1,validation,False
taiwan,2265,dirichlet_random,0.15,3139.0,0.5620697469692604,0.7874372023800404,0.1331993051451504,"{'xgboost': 0.07824706738487126, 'catboost': 0.295927530241281, 'optuna_best_catboost': 0.4600049772124473, 'random_forest': 0.0012742226410587835, 'monotonic_xgboost': 0.16454620252034155}",0.16,3130.0,0.5552992766164563,0.7904813539467618,0.1319065519430494,False,B_FN5_FP1,validation,False
taiwan,1139,dirichlet_random,0.15,3140.0,0.5625013838129073,0.7877627912984708,0.13315104026002453,"{'xgboost': 0.21314274764966443, 'catboost': 0.2444366996409952, 'optuna_best_catboost': 0.39626073114440946, 'random_forest': 0.012450924958471362, 'monotonic_xgboost': 0.13370889660645957}",0.17,3136.0,0.5525320718561451,0.7911861515534978,0.1317343199216964,False,B_FN5_FP1,validation,False
taiwan,809,dirichlet_random,0.15,3140.0,0.562313343110638,0.7874889676315591,0.1331928959076059,"{'xgboost': 0.09860064791165807, 'catboost': 0.24570549365121488, 'optuna_best_catboost': 0.5051910918957061, 'random_forest': 0.042665099823811226, 'monotonic_xgboost': 0.10783766671760982}",0.15,3135.0,0.5531467133419536,0.7906332631895363,0.13184495802710053,False,B_FN5_FP1,validation,False
taiwan,2717,dirichlet_random,0.15,3140.0,0.5622800429270379,0.7881364364317066,0.1331148084809135,"{'xgboost': 0.14808294425604548, 'catboost': 0.3769932193566388, 'optuna_best_catboost': 0.21528765660033092, 'random_forest': 0.08164961615917958, 'monotonic_xgboost': 0.1779865636278053}",0.16,3133.0,0.5553604524533918,0.7916914674900513,0.1318085248787313,False,B_FN5_FP1,validation,False
taiwan,2915,dirichlet_random,0.15,3140.0,0.5621481486913807,0.7877245720940785,0.13314271321433768,"{'xgboost': 0.13116232720652615, 'catboost': 0.12580664221245533, 'optuna_best_catboost': 0.48348215920899607, 'random_forest': 0.007754360680728754, 'monotonic_xgboost': 0.2517945106912937}",0.16,3131.0,0.5535211339910301,0.7912463830844705,0.13179816821554088,False,B_FN5_FP1,validation,False
taiwan,2747,dirichlet_random,0.15,3140.0,0.5620592893342744,0.7881030551012883,0.13311417010940113,"{'xgboost': 0.04373612844797076, 'catboost': 0.3220662323293968, 'optuna_best_catboost': 0.2823180071818411, 'random_forest': 0.09355290027434818, 'monotonic_xgboost': 0.2583267317664433}",0.16,3138.0,0.5552184839722116,0.7915273829311099,0.13186627483572602,False,B_FN5_FP1,validation,False
taiwan,968,dirichlet_random,0.15,3141.0,0.563043209244881,0.787916474428369,0.13318968219133565,"{'xgboost': 0.13739336584126954, 'catboost': 0.6397849661764916, 'optuna_best_catboost': 0.035947709074918975, 'random_forest': 0.17072561004432418, 'monotonic_xgboost': 0.01614834886299562}",0.16,3133.0,0.5554916611979728,0.7910097304159234,0.13188974202182185,False,B_FN5_FP1,validation,False
taiwan,2057,dirichlet_random,0.15,3141.0,0.5629277451061734,0.7877753697708025,0.1332089767633808,"{'xgboost': 0.13757314288681619, 'catboost': 0.6428275604661455, 'optuna_best_catboost': 0.07288973704042892, 'random_forest': 0.12673783558335738, 'monotonic_xgboost': 0.019971724023251973}",0.13,3129.0,0.5539047175560243,0.7909066837002833,0.13181635250794072,False,B_FN5_FP1,validation,False
taiwan,1845,dirichlet_random,0.15,3141.0,0.5628117291478135,0.7878706758880846,0.13319955562397123,"{'xgboost': 0.0850947813238942, 'catboost': 0.6739237890641029, 'optuna_best_catboost': 0.02048683964593736, 'random_forest': 0.1484637505457496, 'monotonic_xgboost': 0.07203083942031605}",0.17,3137.0,0.5550180277581419,0.7911815555732228,0.13174021797140043,False,B_FN5_FP1,validation,False
taiwan,870,dirichlet_random,0.15,3141.0,0.5623007670549318,0.7874660683614169,0.13320982854698818,"{'xgboost': 0.17920466851543737, 'catboost': 0.3766777568046562, 'optuna_best_catboost': 0.3816905845784347, 'random_forest': 0.009009056020638595, 'monotonic_xgboost': 0.0534179340808331}",0.14,3135.0,0.5564913130913791,0.7906641449517349,0.13193986328043197,False,B_FN5_FP1,validation,False
taiwan,1805,dirichlet_random,0.15,3141.0,0.5621863892969319,0.7874723575975826,0.13318174077251727,"{'xgboost': 0.057955519340282806, 'catboost': 0.06987675147141927, 'optuna_best_catboost': 0.598944466160032, 'random_forest': 0.0011008341139119907, 'monotonic_xgboost': 0.2721224289143538}",0.12,3131.0,0.5521572989255912,0.7909263577211099,0.13181253446267033,False,B_FN5_FP1,validation,False
taiwan,872,dirichlet_random,0.15,3141.0,0.5621441617511231,0.7881562717149989,0.13312409401979344,"{'xgboost': 0.007281701240899277, 'catboost': 0.40885507798285065, 'optuna_best_catboost': 0.20456180080700642, 'random_forest': 0.10999313517574875, 'monotonic_xgboost': 0.26930828479349495}",0.17,3141.0,0.5550417827305993,0.7913914386724488,0.13185689102999817,False,B_FN5_FP1,validation,False
taiwan,2522,dirichlet_random,0.15,3141.0,0.5621388876084207,0.7877697255844999,0.13316802301440958,"{'xgboost': 0.0833918244750508, 'catboost': 0.43032895508720154, 'optuna_best_catboost': 0.27255379002819, 'random_forest': 0.04818896903739805, 'monotonic_xgboost': 0.16553646137215974}",0.16,3140.0,0.55502877590494,0.7909136179863123,0.13190949614721756,False,B_FN5_FP1,validation,False
taiwan,2985,dirichlet_random,0.15,3141.0,0.5621018602926279,0.7879588864568716,0.1331173207265192,"{'xgboost': 0.11309799804306778, 'catboost': 0.23656446842656745, 'optuna_best_catboost': 0.35184198692841395, 'random_forest': 0.04529070258403576, 'monotonic_xgboost': 0.25320484401791504}",0.13,3133.0,0.5537042049166209,0.7912994384357154,0.13183464778631773,False,B_FN5_FP1,validation,False
taiwan,721,dirichlet_random,0.15,3141.0,0.562067258891802,0.7881243417467723,0.13311415520390865,"{'xgboost': 0.010787574771963711, 'catboost': 0.3129776244824499, 'optuna_best_catboost': 0.2861417213660711, 'random_forest': 0.10226694482784422, 'monotonic_xgboost': 0.2878261345516711}",0.14,3136.0,0.5537321345216983,0.7916344612083946,0.13180131754641927,False,B_FN5_FP1,validation,False
taiwan,1180,dirichlet_random,0.15,3142.0,0.5624889470653485,0.7876228154781649,0.13324327216722243,"{'xgboost': 0.20496959889399385, 'catboost': 0.6668662608380775, 'optuna_best_catboost': 0.03722731682503757, 'random_forest': 0.018054959968095977, 'monotonic_xgboost': 0.07288186347479485}",0.12,3129.0,0.5549529975755451,0.7911180987929343,0.1318400577896846,False,B_FN5_FP1,validation,False
taiwan,1786,dirichlet_random,0.15,3142.0,0.5624687509975731,0.7873725361312587,0.1332556287553246,"{'xgboost': 0.04239654016466283, 'catboost': 0.6784273851024011, 'optuna_best_catboost': 0.1274418053619968, 'random_forest': 0.14786377986142746, 'monotonic_xgboost': 0.0038704895095117583}",0.15,3132.0,0.5574393989511621,0.7905853682371965,0.13190511839430677,False,B_FN5_FP1,validation,False
taiwan,2396,dirichlet_random,0.15,3142.0,0.5623847912485639,0.7877576308995655,0.1331581814571173,"{'xgboost': 0.062298121518809126, 'catboost': 0.32450064680146734, 'optuna_best_catboost': 0.38431042198714266, 'random_forest': 0.0887248807245289, 'monotonic_xgboost': 0.14016592896805202}",0.15,3135.0,0.5544145254866536,0.790557308568149,0.13191377857129385,False,B_FN5_FP1,validation,False
taiwan,593,dirichlet_random,0.15,3142.0,0.5622963775817384,0.7875934657093911,0.13320171665668853,"{'xgboost': 0.2603045326428763, 'catboost': 0.42578457357390237, 'optuna_best_catboost': 0.27561126295633065, 'random_forest': 0.00393949732071968, 'monotonic_xgboost': 0.03436013350617095}",0.14,3134.0,0.5551616829349504,0.7910138426088009,0.1318490435360496,False,B_FN5_FP1,validation,False
taiwan,1789,dirichlet_random,0.15,3142.0,0.5622727103195986,0.7877639201357315,0.13318300574505054,"{'xgboost': 0.08816433694350798, 'catboost': 0.49845956694724614, 'optuna_best_catboost': 0.2142346666958877, 'random_forest': 0.043537015636787316, 'monotonic_xgboost': 0.15560441377657072}",0.15,3132.0,0.5550696221732053,0.7907495334273709,0.13188305530740027,False,B_FN5_FP1,validation,False
taiwan,1904,dirichlet_random,0.15,3142.0,0.5621817344521847,0.7878363269828712,0.13315229543277607,"{'xgboost': 0.030138574528135027, 'catboost': 0.3807256240361938, 'optuna_best_catboost': 0.307886631730828, 'random_forest': 0.07678485442757037, 'monotonic_xgboost': 0.20446431527727274}",0.14,3130.0,0.5557308524820241,0.7908828974865794,0.13193224591435396,False,B_FN5_FP1,validation,False
taiwan,2472,dirichlet_random,0.15,3142.0,0.561679939867884,0.7879564675198849,0.13312209638411096,"{'xgboost': 0.06140993127063416, 'catboost': 0.1596825753095357, 'optuna_best_catboost': 0.3944925624267875, 'random_forest': 0.033949160732362954, 'monotonic_xgboost': 0.3504657702606798}",0.13,3134.0,0.5540843181980002,0.7911800235797976,0.13186105853475172,False,B_FN5_FP1,validation,False
taiwan,1626,dirichlet_random,0.15,3143.0,0.5625701126315683,0.7871422533301102,0.13324734141179342,"{'xgboost': 0.1875990143132958, 'catboost': 0.1965039295236906, 'optuna_best_catboost': 0.5986727400090852, 'random_forest': 0.010949738933739324, 'monotonic_xgboost': 0.006274577220189057}",0.14,3142.0,0.5564484007845751,0.7903745981944087,0.13197624213811604,False,B_FN5_FP1,validation,False
taiwan,1836,dirichlet_random,0.15,3143.0,0.5624077254399034,0.7874065625115403,0.13320607642910692,"{'xgboost': 0.13798691937401444, 'catboost': 0.24996759172219418, 'optuna_best_catboost': 0.5086360991964517, 'random_forest': 0.005801062088543568, 'monotonic_xgboost': 0.09760832761879587}",0.14,3129.0,0.5542135634957605,0.7905911736859649,0.13191277483769379,False,B_FN5_FP1,validation,False
taiwan,2103,dirichlet_random,0.15,3143.0,0.5623865494119561,0.7879226024020689,0.13319336374065605,"{'xgboost': 0.01856783689140868, 'catboost': 0.649078464617562, 'optuna_best_catboost': 0.019118474500530183, 'random_forest': 0.09436547313308612, 'monotonic_xgboost': 0.21886975085741295}",0.16,3134.0,0.5550404766488002,0.7911803461047294,0.1318185388577434,False,B_FN5_FP1,validation,False
taiwan,2936,dirichlet_random,0.15,3143.0,0.5623416448692038,0.7879051860557637,0.13312667293096156,"{'xgboost': 0.4415131642512298, 'catboost': 0.05412305483951929, 'optuna_best_catboost': 0.35512568793853766, 'random_forest': 0.0024324717487559876, 'monotonic_xgboost': 0.14680562122195728}",0.15,3141.0,0.5526985413456761,0.7917489575591056,0.1316847811108384,False,B_FN5_FP1,validation,False
taiwan,2129,dirichlet_random,0.15,3143.0,0.562315203250348,0.7879180870530269,0.13316432212068238,"{'xgboost': 0.1714850085608657, 'catboost': 0.47539825061828844, 'optuna_best_catboost': 0.1768669157293696, 'random_forest': 0.035915956707996695, 'monotonic_xgboost': 0.14033386838347958}",0.16,3138.0,0.5535667036952595,0.7912205810899441,0.13184369580641003,False,B_FN5_FP1,validation,False
