dataset,split,model,policy_type,capacity_pct,review_count,total_defaults,defaults_captured_in_review,default_capture_rate,precision_at_k,recall_at_k,lift_at_k,nondefaults_reviewed,false_alarm_count,manual_review_rate,auto_decision_rate,low_risk_default_count,low_risk_default_rate,high_risk_count,high_risk_precision,t_low,t_high,review_adjusted_cost,random_expected_defaults_captured,oracle_defaults_captured,oracle_capture_rate,net_value_vs_random,net_value_vs_v2,selection_role,test_set_used_for_selection,candidate_note,comment,locked_from_validation_model,locked_from_validation_policy_type,locked_from_validation_capacity_pct
heloc,validation,V2 final locked policy ranking,three_bucket_capacity_band,0.3,593,1027,155,0.15092502434274585,0.26138279932546377,0.15092502434274585,0.5024047184697814,438,803,0.30040526849037485,0.6995947315096251,13,0.08280254777070063,1224,0.701797385620915,0.15892558723404684,0.3941132845297988,726.5,308.516210739615,593,0.5774099318403116,3162.418946301925,2.5,validation_candidate,False,same probability ranker as V2 locked manual-review policy,Three-bucket band; high-risk bucket cost included separately from manual review.,,,
heloc,validation,Best CatBoost probability ranking,top_k_review,0.05,99,1027,89,0.0866601752677702,0.898989898989899,0.0866601752677702,1.727951373520994,10,10,0.05015197568389058,0.9498480243161094,938,0.5002666666666666,0,,,,4739.5,51.506079027355625,99,0.09639727361246349,187.46960486322132,-4010.5,validation_candidate,False,,Top-K review only; no automatic high-risk rejection bucket.,,,
heloc,validation,Best CatBoost probability ranking,three_bucket_capacity_band,0.05,106,1027,20,0.019474196689386564,0.18867924528301888,0.019474196689386564,0.3626609836306517,86,771,0.05369807497467072,0.9463019250253293,22,0.1111111111111111,1670,0.5898203592814372,0.14262220120364874,0.1838099406672503,848.0,55.14792299898683,106,0.10321324245374879,4064.2603850050655,-119.0,validation_candidate,False,,Three-bucket band; high-risk bucket cost included separately from manual review.,,,
heloc,validation,Best CatBoost probability ranking,top_k_review,0.1,198,1027,174,0.1694255111976631,0.8787878787878788,0.1694255111976631,1.6891210055767019,24,24,0.10030395136778116,0.8996960486322189,853,0.4802927927927928,0,,,,4364.0,103.01215805471125,198,0.19279454722492698,354.93920972644355,-3635.0,validation_candidate,False,,Top-K review only; no automatic high-risk rejection bucket.,,,
heloc,validation,Best CatBoost probability ranking,three_bucket_capacity_band,0.1,198,1027,36,0.035053554040895815,0.18181818181818182,0.035053554040895815,0.349473311498628,162,791,0.10030395136778116,0.8996960486322189,17,0.09826589595375723,1603,0.6076107298814722,0.13303715430295734,0.21203947332875892,813.0,103.01215805471125,198,0.19279454722492698,3905.9392097264436,-84.0,validation_candidate,False,,Three-bucket band; high-risk bucket cost included separately from manual review.,,,
heloc,validation,Best CatBoost probability ranking,top_k_review,0.15,297,1027,260,0.25316455696202533,0.8754208754208754,0.25316455696202533,1.6826492775859865,37,37,0.15045592705167174,0.8495440729483282,767,0.4573643410852713,0,,,,3983.5,154.51823708206686,297,0.2891918208373905,527.4088145896658,-3254.5,validation_candidate,False,,Top-K review only; no automatic high-risk rejection bucket.,,,
heloc,validation,Best CatBoost probability ranking,three_bucket_capacity_band,0.15,298,1027,61,0.05939629990262902,0.20469798657718122,0.05939629990262902,0.3934506577442607,237,787,0.15096251266464034,0.8490374873353597,18,0.10112359550561797,1498,0.6328437917222964,0.13715364539952246,0.2594602612193749,789.0,155.03850050658562,298,0.2901655306718598,3719.8074974670717,-60.0,validation_candidate,False,,Three-bucket band; high-risk bucket cost included separately from manual review.,,,
heloc,validation,Best CatBoost probability ranking,top_k_review,0.2,395,1027,336,0.32716650438169426,0.850632911392405,0.32716650438169426,1.6350042522771253,59,59,0.2001013171225937,0.7998986828774063,691,0.4376187460417986,0,,,,3652.5,205.50405268490374,395,0.38461538461538464,652.4797365754812,-2923.5,validation_candidate,False,,Top-K review only; no automatic high-risk rejection bucket.,,,
heloc,validation,Best CatBoost probability ranking,three_bucket_capacity_band,0.2,417,1027,89,0.0866601752677702,0.21342925659472423,0.0866601752677702,0.4102330599006676,328,818,0.21124620060790272,0.7887537993920972,14,0.0979020979020979,1414,0.6534653465346535,0.13072164741550218,0.2924846008255538,768.5,216.9498480243161,417,0.4060370009737098,3490.2507598784196,-39.5,validation_candidate,False,,Three-bucket band; high-risk bucket cost included separately from manual review.,,,
heloc,validation,Best CatBoost probability ranking,top_k_review,0.25,494,1027,421,0.40993184031158714,0.8522267206477733,0.40993184031158714,1.6380677181681642,73,73,0.2502532928064843,0.7497467071935157,606,0.40945945945945944,0,,,,3277.0,257.01013171225935,494,0.4810126582278481,819.9493414387034,-2548.0,validation_candidate,False,,Top-K review only; no automatic high-risk rejection bucket.,,,
heloc,validation,Best CatBoost probability ranking,three_bucket_capacity_band,0.25,494,1027,119,0.11587147030185005,0.2408906882591093,0.11587147030185005,0.46301676594302027,375,791,0.2502532928064843,0.7497467071935157,17,0.09826589595375723,1307,0.6817138485080336,0.13303715430295734,0.33856544901065444,748.0,257.01013171225935,494,0.4810126582278481,3348.9493414387034,-19.0,validation_candidate,False,,Three-bucket band; high-risk bucket cost included separately from manual review.,,,
heloc,validation,Best CatBoost probability ranking,top_k_review,0.3,593,1027,495,0.4819863680623174,0.8347386172006745,0.4819863680623174,1.6044537783389792,98,98,0.30040526849037485,0.6995947315096251,532,0.38522809558291093,0,,,,2956.5,308.516210739615,593,0.5774099318403116,932.4189463019252,-2227.5,validation_candidate,False,,Top-K review only; no automatic high-risk rejection bucket.,,,
heloc,validation,Best CatBoost probability ranking,three_bucket_capacity_band,0.3,592,1027,144,0.14021421616358326,0.24324324324324326,0.14021421616358326,0.4675386194373537,448,836,0.2998986828774063,0.7001013171225937,11,0.09016393442622951,1260,0.692063492063492,0.1252530916113759,0.3685991059389446,739.0,307.99594731509626,592,0.5764362220058422,3152.020263424519,-10.0,validation_candidate,False,,Three-bucket band; high-risk bucket cost included separately from manual review.,,,
heloc,validation,Best Scorecard probability ranking,top_k_review,0.05,99,1027,88,0.08568646543330087,0.8888888888888888,0.08568646543330087,1.7085361895488478,11,11,0.05015197568389058,0.9498480243161094,939,0.5008,0,,,,4744.5,51.506079027355625,99,0.09639727361246349,182.46960486322132,-4015.5,validation_candidate,False,,Top-K review only; no automatic high-risk rejection bucket.,,,
heloc,validation,Best Scorecard probability ranking,three_bucket_capacity_band,0.05,99,1027,21,0.02044790652385589,0.21212121212121213,0.02044790652385589,0.40771886341506597,78,803,0.05015197568389058,0.9498480243161094,13,0.08280254777070063,1718,0.5779976717112922,0.15892558723404684,0.18904369563174528,839.5,51.506079027355625,99,0.09639727361246349,4087.4696048632213,-110.5,validation_candidate,False,,Three-bucket band; high-risk bucket cost included separately from manual review.,,,
heloc,validation,Best Scorecard probability ranking,top_k_review,0.1,198,1027,169,0.16455696202531644,0.8535353535353535,0.16455696202531644,1.6405830456463368,29,29,0.10030395136778116,0.8996960486322189,858,0.4831081081081081,0,,,,4389.0,103.01215805471125,198,0.19279454722492698,329.93920972644355,-3660.0,validation_candidate,False,,Top-K review only; no automatic high-risk rejection bucket.,,,
heloc,validation,Best Scorecard probability ranking,three_bucket_capacity_band,0.1,198,1027,36,0.035053554040895815,0.18181818181818182,0.035053554040895815,0.349473311498628,162,803,0.10030395136778116,0.8996960486322189,13,0.08280254777070063,1619,0.6040765904879555,0.15892558723404684,0.22047201673614972,805.0,103.01215805471125,198,0.19279454722492698,3913.9392097264436,-76.0,validation_candidate,False,,Three-bucket band; high-risk bucket cost included separately from manual review.,,,
heloc,validation,Best Scorecard probability ranking,top_k_review,0.15,297,1027,257,0.25024342745861733,0.8653198653198653,0.25024342745861733,1.6632340936138406,40,40,0.15045592705167174,0.8495440729483282,770,0.45915324985092426,0,,,,3998.5,154.51823708206686,297,0.2891918208373905,512.4088145896658,-3269.5,validation_candidate,False,,Top-K review only; no automatic high-risk rejection bucket.,,,
heloc,validation,Best Scorecard probability ranking,three_bucket_capacity_band,0.15,297,1027,60,0.05842259006815969,0.20202020202020202,0.05842259006815969,0.38830367944292,237,803,0.15045592705167174,0.8495440729483282,13,0.08280254777070063,1520,0.6276315789473684,0.15892558723404684,0.25825435471696584,779.5,154.51823708206686,297,0.2891918208373905,3731.408814589666,-50.5,validation_candidate,False,,Three-bucket band; high-risk bucket cost included separately from manual review.,,,
heloc,validation,Best Scorecard probability ranking,top_k_review,0.2,395,1027,337,0.3281402142161636,0.8531645569620253,0.3281402142161636,1.6398703363612834,58,58,0.2001013171225937,0.7998986828774063,690,0.4369854338188727,0,,,,3647.5,205.50405268490374,395,0.38461538461538464,657.4797365754812,-2918.5,validation_candidate,False,,Top-K review only; no automatic high-risk rejection bucket.,,,
